AF_left;AF_right;ATR_left;ATR_right;CA;CC_1;CC_2;CC_3;CC_4;CC_5;CC_6;CC_7;CG_left;CG_right;CST_left;CST_right;MLF_left;MLF_right;FPT_left;FPT_right;FX_left;FX_right;ICP_left;ICP_right;IFO_left;IFO_right;ILF_left;ILF_right;MCP;OR_left;OR_right;POPT_left;POPT_right;SCP_left;SCP_right;SLF_I_left;SLF_I_right;SLF_II_left;SLF_II_right;SLF_III_left;SLF_III_right;STR_left;STR_right;UF_left;UF_right;CC;T_PREF_left;T_PREF_right;T_PREM_left;T_PREM_right;T_PREC_left;T_PREC_right;T_POSTC_left;T_POSTC_right;T_PAR_left;T_PAR_right;T_OCC_left;T_OCC_right;ST_FO_left;ST_FO_right;ST_PREF_left;ST_PREF_right;ST_PREM_left;ST_PREM_right;ST_PREC_left;ST_PREC_right;ST_POSTC_left;ST_POSTC_right;ST_PAR_left;ST_PAR_right;ST_OCC_left;ST_OCC_right
1.795022934675216675e-01;1.441828608512878418e-01;1.576426625251770020e-01;1.428108811378479004e-01;0.000000000000000000e+00;1.657353490591049194e-01;1.386962980031967163e-01;1.472524404525756836e-01;1.470411568880081177e-01;1.210860162973403931e-01;1.567456573247909546e-01;1.855238229036331177e-01;2.040303945541381836e-01;1.936405301094055176e-01;1.678853780031204224e-01;1.378162205219268799e-01;1.436844617128372192e-01;1.752656996250152588e-01;1.710903793573379517e-01;2.217327505350112915e-01;6.226055696606636047e-02;2.088177204132080078e-01;0.000000000000000000e+00;0.000000000000000000e+00;2.130438536405563354e-01;1.905706822872161865e-01;3.232392966747283936e-01;3.711493909358978271e-01;0.000000000000000000e+00;1.491344124078750610e-01;1.296437531709671021e-01;1.565566360950469971e-01;1.565489619970321655e-01;1.809223890304565430e-01;2.460761815309524536e-01;1.615244895219802856e-01;2.033438980579376221e-01;3.835958540439605713e-01;1.749718040227890015e-01;2.071435898542404175e-01;1.454607993364334106e-01;6.903039664030075073e-02;1.267256587743759155e-01;1.689136922359466553e-01;2.164302170276641846e-01;1.375897526741027832e-01;2.167193740606307983e-01;1.466738432645797729e-01;1.928760111331939697e-01;1.629917323589324951e-01;1.280206292867660522e-01;1.412587612867355347e-01;3.366189301013946533e-01;1.129665821790695190e-01;1.261823773384094238e-01;1.209211051464080811e-01;1.190847456455230713e-01;1.535203754901885986e-01;1.480726152658462524e-01;2.288302034139633179e-01;2.899844050407409668e-01;2.579923272132873535e-01;1.731459349393844604e-01;2.302850931882858276e-01;2.718604505062103271e-01;2.421798706054687500e-01;2.411428242921829224e-01;2.698345482349395752e-01;2.186011970043182373e-01;1.187764406204223633e-01;2.703505754470825195e-01;1.430928111076354980e-01
2.419757694005966187e-01;2.326046079397201538e-01;2.409126311540603638e-01;2.203811705112457275e-01;0.000000000000000000e+00;2.305864691734313965e-01;2.424798607826232910e-01;2.570887506008148193e-01;2.644560337066650391e-01;2.215199470520019531e-01;2.357136011123657227e-01;2.558895051479339600e-01;2.967344522476196289e-01;2.839713692665100098e-01;2.497827708721160889e-01;2.189590483903884888e-01;1.873383522033691406e-01;2.286515235900878906e-01;2.602160871028900146e-01;4.701851010322570801e-01;1.433683782815933228e-01;2.266798913478851318e-01;0.000000000000000000e+00;0.000000000000000000e+00;2.639627754688262939e-01;2.510569989681243896e-01;3.566193580627441406e-01;4.054246544837951660e-01;0.000000000000000000e+00;2.200247794389724731e-01;2.117781192064285278e-01;2.231059223413467407e-01;2.611207962036132812e-01;3.916249275207519531e-01;3.995267748832702637e-01;2.501038908958435059e-01;2.762992382049560547e-01;3.831504285335540771e-01;2.731256484985351562e-01;2.421479225158691406e-01;1.861699223518371582e-01;1.191508769989013672e-01;2.156215757131576538e-01;1.768243759870529175e-01;2.758816778659820557e-01;2.237591296434402466e-01;2.118191272020339966e-01;2.336336076259613037e-01;2.528281509876251221e-01;2.121135592460632324e-01;1.835593134164810181e-01;2.167077213525772095e-01;3.828010559082031250e-01;1.594110429286956787e-01;1.739837080240249634e-01;1.731318086385726929e-01;1.929481625556945801e-01;2.373216599225997925e-01;1.941139101982116699e-01;2.736433148384094238e-01;2.909771502017974854e-01;2.587947249412536621e-01;2.007034718990325928e-01;2.446746826171875000e-01;2.302046567201614380e-01;2.516142725944519043e-01;2.501042187213897705e-01;2.793540656566619873e-01;2.644345164299011230e-01;1.662567704916000366e-01;3.138858675956726074e-01;2.340413182973861694e-01
3.160400986671447754e-01;3.256812095642089844e-01;3.269397616386413574e-01;2.975805997848510742e-01;0.000000000000000000e+00;3.036307692527770996e-01;3.376212716102600098e-01;3.995172679424285889e-01;3.769380450248718262e-01;3.069298565387725830e-01;3.052210211753845215e-01;3.184627592563629150e-01;3.652263283729553223e-01;3.772743046283721924e-01;3.608820736408233643e-01;3.334385752677917480e-01;2.470987886190414429e-01;2.957551479339599609e-01;3.320431113243103027e-01;4.621543288230895996e-01;1.788129955530166626e-01;2.142324596643447876e-01;0.000000000000000000e+00;0.000000000000000000e+00;3.114131987094879150e-01;3.050503432750701904e-01;3.821969926357269287e-01;4.424097836017608643e-01;0.000000000000000000e+00;2.774162590503692627e-01;3.198080956935882568e-01;2.887782454490661621e-01;3.194202482700347900e-01;3.949785232543945312e-01;3.927625417709350586e-01;3.663700222969055176e-01;3.486391603946685791e-01;3.820886909961700439e-01;3.590900301933288574e-01;3.044908940792083740e-01;2.255716621875762939e-01;2.159310877323150635e-01;2.993963360786437988e-01;2.097327560186386108e-01;3.080640137195587158e-01;3.225337266921997070e-01;2.904354035854339600e-01;3.220023214817047119e-01;3.747707307338714600e-01;2.815923392772674561e-01;2.848837077617645264e-01;3.022693395614624023e-01;4.217966496944427490e-01;2.130965888500213623e-01;2.375262975692749023e-01;2.530051469802856445e-01;2.346213012933731079e-01;3.319137096405029297e-01;2.357826232910156250e-01;3.149528205394744873e-01;2.987828254699707031e-01;3.043334186077117920e-01;2.915236651897430420e-01;3.271425664424896240e-01;2.681927978992462158e-01;2.700417041778564453e-01;2.909185290336608887e-01;3.191193044185638428e-01;3.232397735118865967e-01;2.420628964900970459e-01;4.023149907588958740e-01;3.326718211174011230e-01
3.748854994773864746e-01;3.552794456481933594e-01;3.810183107852935791e-01;3.462495505809783936e-01;0.000000000000000000e+00;3.595776259899139404e-01;3.973561823368072510e-01;4.364866316318511963e-01;4.185508787631988525e-01;3.787756860256195068e-01;3.663108348846435547e-01;3.929105997085571289e-01;4.076082110404968262e-01;4.273481369018554688e-01;4.326795637607574463e-01;4.005647301673889160e-01;2.942420542240142822e-01;3.619507551193237305e-01;3.935033679008483887e-01;4.864150881767272949e-01;1.788129955530166626e-01;1.788734942674636841e-01;0.000000000000000000e+00;0.000000000000000000e+00;3.444138765335083008e-01;3.423799276351928711e-01;3.946395814418792725e-01;4.735967516899108887e-01;0.000000000000000000e+00;3.356681466102600098e-01;3.934863805770874023e-01;3.597522675991058350e-01;4.323256909847259521e-01;3.973480761051177979e-01;4.016634523868560791e-01;4.388731122016906738e-01;3.975800871849060059e-01;3.571274876594543457e-01;3.954797387123107910e-01;3.412585854530334473e-01;2.697488367557525635e-01;2.924728989601135254e-01;3.782227635383605957e-01;2.396535575389862061e-01;3.411947488784790039e-01;3.929532766342163086e-01;2.986414730548858643e-01;3.857626616954803467e-01;4.564429819583892822e-01;3.483659625053405762e-01;3.499827086925506592e-01;3.731942772865295410e-01;4.056283235549926758e-01;2.609722912311553955e-01;3.194052577018737793e-01;3.360700011253356934e-01;3.005945980548858643e-01;4.079254567623138428e-01;2.573317289352416992e-01;3.446726799011230469e-01;3.344403207302093506e-01;3.266718089580535889e-01;3.973568379878997803e-01;3.705205023288726807e-01;3.023387789726257324e-01;3.349777162075042725e-01;3.064741790294647217e-01;3.589555025100708008e-01;3.811098635196685791e-01;3.253920972347259521e-01;4.759134054183959961e-01;4.125728905200958252e-01
4.143006205558776855e-01;4.015720784664154053e-01;3.798615336418151855e-01;3.743202388286590576e-01;0.000000000000000000e+00;3.881573975086212158e-01;4.083238840103149414e-01;3.889282941818237305e-01;3.997459709644317627e-01;4.468263685703277588e-01;4.220183789730072021e-01;4.497991800308227539e-01;4.348973631858825684e-01;4.415704011917114258e-01;4.457798600196838379e-01;4.458282589912414551e-01;3.527319431304931641e-01;3.957874178886413574e-01;4.277186691761016846e-01;4.695115983486175537e-01;2.733013927936553955e-01;1.943660676479339600e-01;0.000000000000000000e+00;0.000000000000000000e+00;3.636709153652191162e-01;3.742610216140747070e-01;4.231972694396972656e-01;4.804392755031585693e-01;0.000000000000000000e+00;3.897859454154968262e-01;4.250106811523437500e-01;4.080500602722167969e-01;4.658682644367218018e-01;3.464608192443847656e-01;3.825916945934295654e-01;4.650644361972808838e-01;4.325202107429504395e-01;3.691146373748779297e-01;4.071731567382812500e-01;3.646282553672790527e-01;3.163838982582092285e-01;3.355728089809417725e-01;4.165552854537963867e-01;2.661906778812408447e-01;3.575195670127868652e-01;4.130711853504180908e-01;3.158613145351409912e-01;4.388466179370880127e-01;4.465639293193817139e-01;3.930910527706146240e-01;4.107804000377655029e-01;4.125529527664184570e-01;4.192211925983428955e-01;3.254135847091674805e-01;3.872246742248535156e-01;4.116830527782440186e-01;3.427242636680603027e-01;4.487375617027282715e-01;2.870211899280548096e-01;3.821058273315429688e-01;3.292838633060455322e-01;3.771502673625946045e-01;4.548738300800323486e-01;3.854272961616516113e-01;3.343873322010040283e-01;3.842827677726745605e-01;3.335256874561309814e-01;3.835570812225341797e-01;4.442488551139831543e-01;3.926082253456115723e-01;5.011058449745178223e-01;4.631216526031494141e-01
4.179477095603942871e-01;4.107706248760223389e-01;3.590078651905059814e-01;3.713035285472869873e-01;0.000000000000000000e+00;4.121979475021362305e-01;3.994982838630676270e-01;4.307573139667510986e-01;4.098701477050781250e-01;4.504921734333038330e-01;4.271336793899536133e-01;4.979362189769744873e-01;4.321343004703521729e-01;4.273367822170257568e-01;4.335890412330627441e-01;4.426979422569274902e-01;3.869213163852691650e-01;4.120565652847290039e-01;4.606841504573822021e-01;4.696776568889617920e-01;2.758017480373382568e-01;2.288064360618591309e-01;0.000000000000000000e+00;0.000000000000000000e+00;3.829654455184936523e-01;3.980910778045654297e-01;4.482149779796600342e-01;4.884985387325286865e-01;0.000000000000000000e+00;4.241622984409332275e-01;4.605082869529724121e-01;4.445234537124633789e-01;4.810186028480529785e-01;3.459782004356384277e-01;3.847092092037200928e-01;4.398003220558166504e-01;4.381341040134429932e-01;3.928773105144500732e-01;3.904281556606292725e-01;4.095786213874816895e-01;3.247836828231811523e-01;3.697206974029541016e-01;4.940075278282165527e-01;3.021791875362396240e-01;3.634415268898010254e-01;4.155451357364654541e-01;3.681588470935821533e-01;4.332638680934906006e-01;3.847069740295410156e-01;3.931970596313476562e-01;4.246285557746887207e-01;4.252848625183105469e-01;4.336601495742797852e-01;3.632024824619293213e-01;4.391375482082366943e-01;4.517023265361785889e-01;3.970853388309478760e-01;4.878993034362792969e-01;3.217380642890930176e-01;3.996066749095916748e-01;3.244272470474243164e-01;4.058295190334320068e-01;4.550280272960662842e-01;3.846331536769866943e-01;3.902857303619384766e-01;4.108661711215972900e-01;4.074884951114654541e-01;3.979708254337310791e-01;4.600189328193664551e-01;4.296192824840545654e-01;5.062341094017028809e-01;4.846643805503845215e-01
4.088563323020935059e-01;3.989346921443939209e-01;3.649796545505523682e-01;3.520230054855346680e-01;0.000000000000000000e+00;4.275718927383422852e-01;4.318952560424804688e-01;5.250494480133056641e-01;3.926254808902740479e-01;4.173139333724975586e-01;4.333712756633758545e-01;5.442360639572143555e-01;4.339124858379364014e-01;4.321669042110443115e-01;4.320056736469268799e-01;4.324339628219604492e-01;4.337106347084045410e-01;4.135880172252655029e-01;4.676587879657745361e-01;4.495319724082946777e-01;3.289460837841033936e-01;2.329533547163009644e-01;0.000000000000000000e+00;0.000000000000000000e+00;3.864232301712036133e-01;3.997927606105804443e-01;4.691267013549804688e-01;4.943709075450897217e-01;0.000000000000000000e+00;4.439704716205596924e-01;4.850970506668090820e-01;4.576950669288635254e-01;4.980982542037963867e-01;3.206111788749694824e-01;3.669215142726898193e-01;4.116263389587402344e-01;4.285460710525512695e-01;4.109705686569213867e-01;3.847089111804962158e-01;4.205425083637237549e-01;3.468197286128997803e-01;4.494530558586120605e-01;5.571082234382629395e-01;3.392302393913269043e-01;3.849852979183197021e-01;4.344049096107482910e-01;4.269044697284698486e-01;3.898770511150360107e-01;3.494792580604553223e-01;3.510516285896301270e-01;4.120288193225860596e-01;4.196090400218963623e-01;4.459086656570434570e-01;4.027274250984191895e-01;4.517250359058380127e-01;4.655792117118835449e-01;4.492423236370086670e-01;5.091879963874816895e-01;3.555237352848052979e-01;3.991312980651855469e-01;3.294438719749450684e-01;4.142169654369354248e-01;4.194241166114807129e-01;3.485741913318634033e-01;4.422422349452972412e-01;3.867738544940948486e-01;4.740838706493377686e-01;3.767623305320739746e-01;5.013062953948974609e-01;4.359487891197204590e-01;4.868403375148773193e-01;4.985760450363159180e-01
3.935473561286926270e-01;3.810085058212280273e-01;3.668116927146911621e-01;3.667827844619750977e-01;0.000000000000000000e+00;4.372528791427612305e-01;4.922413229942321777e-01;5.319915413856506348e-01;3.832513988018035889e-01;3.549827933311462402e-01;4.353242814540863037e-01;5.784919261932373047e-01;4.447860717773437500e-01;4.539295434951782227e-01;4.454351365566253662e-01;4.089526832103729248e-01;4.543324112892150879e-01;4.199973046779632568e-01;4.256801009178161621e-01;4.254262745380401611e-01;2.621688842773437500e-01;2.825861275196075439e-01;0.000000000000000000e+00;0.000000000000000000e+00;4.031280577182769775e-01;3.980526328086853027e-01;4.844588637351989746e-01;5.026440620422363281e-01;0.000000000000000000e+00;4.546352028846740723e-01;4.948702454566955566e-01;4.340121150016784668e-01;4.837408363819122314e-01;3.062030076980590820e-01;3.619823157787322998e-01;3.980997800827026367e-01;4.133844673633575439e-01;4.202567040920257568e-01;3.811004161834716797e-01;4.133201241493225098e-01;3.510862588882446289e-01;5.226433277130126953e-01;5.180001854896545410e-01;3.681893348693847656e-01;3.712247908115386963e-01;4.316959083080291748e-01;5.349492430686950684e-01;3.727252781391143799e-01;3.780044615268707275e-01;4.067002534866333008e-01;4.161557555198669434e-01;4.205332398414611816e-01;4.770119488239288330e-01;4.327223300933837891e-01;4.483388066291809082e-01;4.588433802127838135e-01;4.729590415954589844e-01;5.082821249961853027e-01;3.838135302066802979e-01;4.118263721466064453e-01;3.467849195003509521e-01;3.941842615604400635e-01;3.593598604202270508e-01;3.564929664134979248e-01;4.346256852149963379e-01;3.712655007839202881e-01;4.725908637046813965e-01;3.780412673950195312e-01;4.791715145111083984e-01;4.402816295623779297e-01;4.434810578823089600e-01;5.038346052169799805e-01
4.120980501174926758e-01;3.866042494773864746e-01;3.679490387439727783e-01;3.986107707023620605e-01;0.000000000000000000e+00;4.238276481628417969e-01;5.457978844642639160e-01;5.121759176254272461e-01;4.057850837707519531e-01;3.598136603832244873e-01;4.888662397861480713e-01;6.277455091476440430e-01;4.522029459476470947e-01;4.790272414684295654e-01;4.468064606189727783e-01;3.852733075618743896e-01;4.663510620594024658e-01;4.217149615287780762e-01;3.882987201213836670e-01;4.429295659065246582e-01;2.856230735778808594e-01;2.648237645626068115e-01;0.000000000000000000e+00;0.000000000000000000e+00;4.400866031646728516e-01;3.876088261604309082e-01;4.881616830825805664e-01;5.063586235046386719e-01;0.000000000000000000e+00;4.528145790100097656e-01;4.929432272911071777e-01;3.890699446201324463e-01;4.775735139846801758e-01;3.193638324737548828e-01;3.537398576736450195e-01;4.177273511886596680e-01;4.107657372951507568e-01;4.250502288341522217e-01;3.950551152229309082e-01;4.120603501796722412e-01;3.764184117317199707e-01;4.991779923439025879e-01;4.751788973808288574e-01;3.675203025341033936e-01;3.612923026084899902e-01;4.868258833885192871e-01;5.162103176116943359e-01;3.950005173683166504e-01;3.927488029003143311e-01;3.932232260704040527e-01;4.425196051597595215e-01;4.142359495162963867e-01;4.609600603580474854e-01;4.376176893711090088e-01;4.084217548370361328e-01;4.462427198886871338e-01;4.664776623249053955e-01;5.007625818252563477e-01;3.916392922401428223e-01;4.117733240127563477e-01;3.708097636699676514e-01;3.788585066795349121e-01;3.523549139499664307e-01;3.795017600059509277e-01;4.126749336719512939e-01;3.745960593223571777e-01;4.349941313266754150e-01;3.881770670413970947e-01;4.270614087581634521e-01;4.399794936180114746e-01;4.350259900093078613e-01;5.046576857566833496e-01
4.284572899341583252e-01;4.055768549442291260e-01;3.871038556098937988e-01;4.223077893257141113e-01;0.000000000000000000e+00;4.057863056659698486e-01;5.443668961524963379e-01;4.459219574928283691e-01;4.599826931953430176e-01;4.455609619617462158e-01;5.491831302642822266e-01;6.574035882949829102e-01;4.633940458297729492e-01;5.062895417213439941e-01;4.375710189342498779e-01;4.044079482555389404e-01;4.668108522891998291e-01;4.224169254302978516e-01;3.995505273342132568e-01;4.043059051036834717e-01;2.050730735063552856e-01;2.761388719081878662e-01;0.000000000000000000e+00;0.000000000000000000e+00;4.493998289108276367e-01;4.033831655979156494e-01;4.929516315460205078e-01;4.986586868762969971e-01;0.000000000000000000e+00;4.427694976329803467e-01;5.075673460960388184e-01;3.898155391216278076e-01;4.486238360404968262e-01;3.467731177806854248e-01;3.725205659866333008e-01;4.310070276260375977e-01;4.168472290039062500e-01;4.244975447654724121e-01;4.010421335697174072e-01;4.126103520393371582e-01;4.120330214500427246e-01;3.840019404888153076e-01;4.034064412117004395e-01;3.858488202095031738e-01;3.760000467300415039e-01;5.623907446861267090e-01;4.526921808719635010e-01;3.785454034805297852e-01;4.186201393604278564e-01;3.721567392349243164e-01;4.326168000698089600e-01;4.160839319229125977e-01;4.384300708770751953e-01;4.246460199356079102e-01;3.627742826938629150e-01;4.355947077274322510e-01;4.534888565540313721e-01;4.876252114772796631e-01;4.033622145652770996e-01;4.134743511676788330e-01;3.818408250808715820e-01;3.819300532341003418e-01;3.594172596931457520e-01;3.874190151691436768e-01;3.988175988197326660e-01;3.630049526691436768e-01;4.035049378871917725e-01;4.040870368480682373e-01;3.773107230663299561e-01;4.308457374572753906e-01;4.509416520595550537e-01;4.818978905677795410e-01
